DATE;Median one-year ahead expected inflation rate;Median three-year ahead expected inflation rate;25th Percentile one-year ahead expected inflation rate;25th Percentile three-year ahead expected inflation rate;75th Percentile one-year ahead expected inflation rate;75th Percentile three-year ahead expected inflation rate;Median point prediction one-year ahead inflation rate;Median point prediction three-year ahead inflation rate
20200601;2,68;2,47;0,73;0,99;5,69;5,09;3,41;3,07
20200701;2,89;2,73;0,89;1,00;6,00;5,50;3,14;3,26
20200801;3,00;2,98;1,00;1,00;6,00;5,76;3,80;3,18
20200901;2,98;2,74;1,00;0,91;5,87;5,34;3,44;3,25
20201001;2,84;2,70;1,00;1,00;6,00;5,19;3,42;3,44
20201101;2,96;2,82;1,00;1,00;5,94;5,77;3,49;3,38
20201201;3,00;2,98;1,28;1,00;6,00;5,90;4,31;3,20
20210101;3,05;3,03;1,56;1,19;6,75;6,00;4,55;4,02
20210201;3,09;3,00;1,55;1,19;6,15;6,00;4,58;4,37
20210301;3,24;3,09;1,85;1,46;6,28;6,30;4,92;4,67
20210401;3,36;3,10;1,99;1,46;6,24;6,31;4,62;4,31
20210501;4,00;3,57;2,35;1,81;8,20;6,65;5,26;4,96
20210601;4,80;3,55;2,46;1,35;8,53;6,97;5,48;4,75
20210701;4,84;3,71;2,51;1,58;8,45;8,00;5,41;4,86
20210801;5,18;4,00;2,72;1,38;8,73;7,76;5,82;4,95
20210901;5,31;4,19;2,67;1,72;8,71;7,66;5,52;4,97
20211001;5,65;4,21;2,64;1,46;9,27;8,39;6,82;5,03
20211101;6,00;4,01;3,02;1,01;9,73;8,00;7,23;5,18
20211201;5,99;4,00;3,00;1,03;9,28;7,79;7,03;4,85
